CellLine	ClinSubtype	TransSubtype	DrugName	concentration	cell_count	cell_count__ctrl	cell_count__time0	BiolReplicate
184A1	NM	Basal	Taxol	8.53e-05	3853.6667	3893.3333	2707	9047.002
184A1	NM	Basal	Taxol	8.53e-05	4955.6667	4694	2429.5	10002.002
184A1	NM	Basal	Taxol	8.53e-05	3515.1667	3452.1667	1200	12684.002
184A1	NM	Basal	Taxol	0.000427	3938.3333	3893.3333	2707	9047.002
184A1	NM	Basal	Taxol	0.000427	4587.6667	4694	2429.5	10002.002
184A1	NM	Basal	Taxol	0.000427	3253.8333	3452.1667	1200	12684.002
184A1	NM	Basal	Taxol	0.00213	3870	3893.3333	2707	9047.002
184A1	NM	Basal	Taxol	0.00213	4822.3333	4694	2429.5	10002.002
184A1	NM	Basal	Taxol	0.00213	3461.5	3452.1667	1200	12684.002
184A1	NM	Basal	Taxol	0.0107	3367.6667	3893.3333	2707	9047.002
184A1	NM	Basal	Taxol	0.0107	4340.3333	4694	2429.5	10002.002
184A1	NM	Basal	Taxol	0.0107	3020.8333	3452.1667	1200	12684.002
184A1	NM	Basal	Taxol	0.0533	3296	3893.3333	2707	9047.002
184A1	NM	Basal	Taxol	0.0533	3501	4694	2429.5	10002.002
184A1	NM	Basal	Taxol	0.0533	2411.5	3452.1667	1200	12684.002
184A1	NM	Basal	Taxol	0.267	2982.3333	3893.3333	2707	9047.002
184A1	NM	Basal	Taxol	0.267	3471.6667	4694	2429.5	10002.002
184A1	NM	Basal	Taxol	0.267	2426.1667	3452.1667	1200	12684.002
184A1	NM	Basal	Taxol	1.33	3100.3333	3893.3333	2707	9047.002
184A1	NM	Basal	Taxol	1.33	3234.6667	4694	2429.5	10002.002
184A1	NM	Basal	Taxol	1.33	2338.1667	3452.1667	1200	12684.002
184A1	NM	Basal	Taxol	6.67	2430	3893.3333	2707	9047.002
184A1	NM	Basal	Taxol	6.67	3459.3333	4694	2429.5	10002.002
184A1	NM	Basal	Taxol	6.67	2308.1667	3452.1667	1200	12684.002
184A1	NM	Basal	Taxol	33.3	2414.6667	3893.3333	2707	9047.002
184A1	NM	Basal	Taxol	33.3	3343	4694	2429.5	10002.002
184A1	NM	Basal	Taxol	33.3	2091.5	3452.1667	1200	12684.002
184B5	NM	Basal	Taxol	8.53e-05	7791.1667	7336.5	3517	9095.002
