"cell_line","treatment","pert_type","design","time","concentration","cell_count__time0","dead_count__time0","cell_count","dead_count","cell_count__ctrl","dead_count__ctrl"
"HCC1806","GSK2126458","pos_ctrl",1,72,0.1,1197.70779220779,296.253246753247,2806,496,5425.3,495.3
"HCC1806","Paclitaxel","trt_cp",1,72,1,1197.70779220779,296.253246753247,863,1407,5425.3,495.3
"HCC1806","Paclitaxel","trt_cp",1,72,0.31623,1197.70779220779,296.253246753247,761,1067,5425.3,495.3
"HCC1806","Paclitaxel","trt_cp",1,72,0.1,1197.70779220779,296.253246753247,733,1152,5425.3,495.3
"HCC1806","Paclitaxel","trt_cp",1,72,0.031623,1197.70779220779,296.253246753247,785,1175,5425.3,495.3
"HCC1806","Paclitaxel","trt_cp",1,72,0.01,1197.70779220779,296.253246753247,811,1012,5425.3,495.3
"HCC1806","Paclitaxel","trt_cp",1,72,0.0031623,1197.70779220779,296.253246753247,1311,869,5425.3,495.3
"HCC1806","Paclitaxel","trt_cp",1,72,0.001,1197.70779220779,296.253246753247,3077,778,5425.3,495.3
"HCC1806","Paclitaxel","trt_cp",1,72,0.00031623,1197.70779220779,296.253246753247,6403,584,5425.3,495.3
"HCC1806","Paclitaxel","trt_cp",1,72,1e-04,1197.70779220779,296.253246753247,2740,435,5425.3,495.3
"HCC1806","Vincristin","pos_ctrl",1,72,1,1197.70779220779,296.253246753247,725,635,5425.3,495.3
"HCC1806","GSK2126458","pos_ctrl",1,72,0.1,1197.70779220779,296.253246753247,2691,490,5425.3,495.3
"HCC1806","Doxorubicin","trt_cp",1,72,3.1623,1197.70779220779,296.253246753247,518,910,5425.3,495.3
"HCC1806","Doxorubicin","trt_cp",1,72,1,1197.70779220779,296.253246753247,830,607,5425.3,495.3
"HCC1806","Doxorubicin","trt_cp",1,72,0.31623,1197.70779220779,296.253246753247,1139,593,5425.3,495.3
"HCC1806","Doxorubicin","trt_cp",1,72,0.1,1197.70779220779,296.253246753247,1335,584,5425.3,495.3
"HCC1806","Doxorubicin","trt_cp",1,72,0.031623,1197.70779220779,296.253246753247,1983,758,5425.3,495.3
"HCC1806","Doxorubicin","trt_cp",1,72,0.01,1197.70779220779,296.253246753247,3676,707,5425.3,495.3
"HCC1806","Doxorubicin","trt_cp",1,72,0.0031623,1197.70779220779,296.253246753247,4624,438,5425.3,495.3
"HCC1806","Doxorubicin","trt_cp",1,72,0.001,1197.70779220779,296.253246753247,5818,550,5425.3,495.3
"HCC1806","Doxorubicin","trt_cp",1,72,0.00031623,1197.70779220779,296.253246753247,4373,439,5425.3,495.3
"HCC1806","Vincristin","pos_ctrl",1,72,1,1197.70779220779,296.253246753247,594,688,5425.3,495.3
"HCC1806","-","ctl_vehicle",1,72,0,1197.70779220779,296.253246753247,4966,484,5425.3,495.3
"HCC1806","Taselisib/GDC0032","trt_cp",1,72,10,1197.70779220779,296.253246753247,1172,674,5425.3,495.3
"HCC1806","Taselisib/GDC0032","trt_cp",1,72,3.1623,1197.70779220779,296.253246753247,2428,501,5425.3,495.3
"HCC1806","Taselisib/GDC0032","trt_cp",1,72,1,1197.70779220779,296.253246753247,3549,529,5425.3,495.3
"HCC1806","Taselisib/GDC0032","trt_cp",1,72,0.31623,1197.70779220779,296.253246753247,4523,589,5425.3,495.3
"HCC1806","Taselisib/GDC0032","trt_cp",1,72,0.1,1197.70779220779,296.253246753247,4129,516,5425.3,495.3
"HCC1806","Taselisib/GDC0032","trt_cp",1,72,0.031623,1197.70779220779,296.253246753247,5227,590,5425.3,495.3
"HCC1806","Taselisib/GDC0032","trt_cp",1,72,0.01,1197.70779220779,296.253246753247,5486,477,5425.3,495.3
"HCC1806","Taselisib/GDC0032","trt_cp",1,72,0.0031623,1197.70779220779,296.253246753247,5637,574,5425.3,495.3
"HCC1806","Taselisib/GDC0032","trt_cp",1,72,0.001,1197.70779220779,296.253246753247,6138,496,5425.3,495.3
"HCC1806","-","ctl_vehicle",1,72,0,1197.70779220779,296.253246753247,5302,521,5425.3,495.3
"HCC1806","-","ctl_vehicle",1,72,0,1197.70779220779,296.253246753247,4876,484,5425.3,495.3
"HCC1806","Pictilisib/GDC0941","trt_cp",1,72,10,1197.70779220779,296.253246753247,1644,646,5425.3,495.3
"HCC1806","Pictilisib/GDC0941","trt_cp",1,72,3.1623,1197.70779220779,296.253246753247,4398,489,5425.3,495.3
"HCC1806","Pictilisib/GDC0941","trt_cp",1,72,1,1197.70779220779,296.253246753247,5835,542,5425.3,495.3
"HCC1806","Pictilisib/GDC0941","trt_cp",1,72,0.31623,1197.70779220779,296.253246753247,4905,496,5425.3,495.3
"HCC1806","Pictilisib/GDC0941","trt_cp",1,72,0.1,1197.70779220779,296.253246753247,4457,509,5425.3,495.3
"HCC1806","Pictilisib/GDC0941","trt_cp",1,72,0.031623,1197.70779220779,296.253246753247,4567,442,5425.3,495.3
"HCC1806","Pictilisib/GDC0941","trt_cp",1,72,0.01,1197.70779220779,296.253246753247,5495,488,5425.3,495.3
"HCC1806","Pictilisib/GDC0941","trt_cp",1,72,0.0031623,1197.70779220779,296.253246753247,5304,507,5425.3,495.3
"HCC1806","Pictilisib/GDC0941","trt_cp",1,72,0.001,1197.70779220779,296.253246753247,4832,468,5425.3,495.3
"HCC1806","-","ctl_vehicle",1,72,0,1197.70779220779,296.253246753247,5503,530,5425.3,495.3
"HCC1806","Actinomycin D","pos_ctrl",1,72,1,1197.70779220779,296.253246753247,281,1270,5425.3,495.3
"HCC1806","Torin2","trt_cp",1,72,1,1197.70779220779,296.253246753247,906,666,5425.3,495.3
"HCC1806","Torin2","trt_cp",1,72,0.31623,1197.70779220779,296.253246753247,1321,595,5425.3,495.3
"HCC1806","Torin2","trt_cp",1,72,0.1,1197.70779220779,296.253246753247,1697,558,5425.3,495.3
"HCC1806","Torin2","trt_cp",1,72,0.031623,1197.70779220779,296.253246753247,3339,462,5425.3,495.3
"HCC1806","Torin2","trt_cp",1,72,0.01,1197.70779220779,296.253246753247,4181,480,5425.3,495.3
"HCC1806","Torin2","trt_cp",1,72,0.0031623,1197.70779220779,296.253246753247,5221,479,5425.3,495.3
"HCC1806","Torin2","trt_cp",1,72,0.001,1197.70779220779,296.253246753247,6146,449,5425.3,495.3
"HCC1806","Torin2","trt_cp",1,72,0.00031623,1197.70779220779,296.253246753247,5387,552,5425.3,495.3
"HCC1806","Torin2","trt_cp",1,72,1e-04,1197.70779220779,296.253246753247,5487,530,5425.3,495.3
"HCC1806","Vorinostat","trt_cp",1,72,10,1197.70779220779,296.253246753247,1316,454,5425.3,495.3
"HCC1806","Actinomycin D","pos_ctrl",1,72,1,1197.70779220779,296.253246753247,388,1439,5425.3,495.3
"HCC1806","Ipatasertib/GDC0068","trt_cp",1,72,10,1197.70779220779,296.253246753247,5390,378,5425.3,495.3
"HCC1806","Ipatasertib/GDC0068","trt_cp",1,72,3.1623,1197.70779220779,296.253246753247,4984,383,5425.3,495.3
"HCC1806","Ipatasertib/GDC0068","trt_cp",1,72,1,1197.70779220779,296.253246753247,6413,509,5425.3,495.3
"HCC1806","Ipatasertib/GDC0068","trt_cp",1,72,0.31623,1197.70779220779,296.253246753247,5719,474,5425.3,495.3
"HCC1806","Ipatasertib/GDC0068","trt_cp",1,72,0.1,1197.70779220779,296.253246753247,6010,528,5425.3,495.3
"HCC1806","Ipatasertib/GDC0068","trt_cp",1,72,0.031623,1197.70779220779,296.253246753247,5211,496,5425.3,495.3
"HCC1806","Ipatasertib/GDC0068","trt_cp",1,72,0.01,1197.70779220779,296.253246753247,4747,404,5425.3,495.3
"HCC1806","Ipatasertib/GDC0068","trt_cp",1,72,0.0031623,1197.70779220779,296.253246753247,5118,387,5425.3,495.3
"HCC1806","Ipatasertib/GDC0068","trt_cp",1,72,0.001,1197.70779220779,296.253246753247,4957,325,5425.3,495.3
"HCC1806","Everolimus","trt_cp",1,72,10,1197.70779220779,296.253246753247,4839,374,5425.3,495.3
"HCC1806","-","ctl_vehicle",1,72,0,1197.70779220779,296.253246753247,5825,551,5425.3,495.3
"HCC1806","Tivantinib/ARQ197","trt_cp",1,72,10,1197.70779220779,296.253246753247,623,782,5425.3,495.3
